tNr (ng N m-2 s-1),TimeBase,Bias,SDev,R2
LUT_V1_d3_days,ft,"(-2.3409, 0.9667)",23.2969 ±1.2984,0.1613 ±0.0583
LUT_V1_d3_days,dt,"(1.6616, 5.7424)",25.5825 ±1.5556,0.1855 ±0.0609
LUT_V1_d3_days,nt,"(-10.0908, -6.4183)",19.4200 ±1.3897,0.0176 ±0.0224
LUT_V1_d7_days,ft,"(-2.7207, 1.0150)",23.6660 ±1.4054,0.1189 ±0.0572
LUT_V1_d7_days,dt,"(1.4357, 6.1082)",25.9910 ±1.7641,0.1345 ±0.0609
LUT_V1_d7_days,nt,"(-10.4296, -6.8012)",19.7176 ±1.3163,0.0166 ±0.0200
LUT_V1V2_d3_days,ft,"(-2.2684, 1.2547)",23.3237 ±1.4525,0.1612 ±0.0398
LUT_V1V2_d3_days,dt,"(-3.1330, 1.3533)",28.4413 ±1.9233,0.1272 ±0.0395
LUT_V1V2_d3_days,nt,"(-1.8056, 1.6554)",14.6719 ±1.4256,0.0117 ±0.0113
LUT_V1V2_d7_days,ft,"(-2.0542, 1.1960)",22.2978 ±1.3025,0.1937 ±0.0421
LUT_V1V2_d7_days,dt,"(-2.9899, 1.3247)",26.9375 ±1.7018,0.1587 ±0.0413
LUT_V1V2_d7_days,nt,"(-1.5783, 1.8668)",14.4485 ±1.4276,0.0156 ±0.0121
LUT_V1V2V3_d3_days,ft,"(-1.5534, 1.7166)",23.3101 ±1.2281,0.1578 ±0.0368
LUT_V1V2V3_d3_days,dt,"(-2.2798, 2.1253)",29.0642 ±1.6407,0.1208 ±0.0325
LUT_V1V2V3_d3_days,nt,"(-1.0676, 2.0776)",13.5812 ±1.5211,0.0788 ±0.0700
LUT_V1V2V3_d7_days,ft,"(-1.3477, 1.8103)",22.5823 ±1.2245,0.1760 ±0.0343
LUT_V1V2V3_d7_days,dt,"(-2.1790, 2.0536)",28.1099 ±1.6640,0.1319 ±0.0317
LUT_V1V2V3_d7_days,nt,"(-0.6622, 2.1083)",13.2329 ±1.3914,0.0867 ±0.0507
LUT_MDS_d7_days,ft,"(-3.7975, 0.1998)",23.7974 ±1.2772,0.1334 ±0.0266
LUT_MDS_d7_days,dt,"(-5.4474, 0.0397)",29.1816 ±1.7265,0.0850 ±0.0227
LUT_MDS_d7_days,nt,"(-1.9394, 1.4512)",14.6957 ±1.3800,0.0065 ±0.0093
ANN_CRU_days,ft,"(-1.7239, 1.4593)",19.6418 ±1.2336,0.2744 ±0.0354
ANN_CRU_days,dt,"(-2.9836, 1.6251)",24.3397 ±1.6999,0.2134 ±0.0329
ANN_CRU_days,nt,"(-0.5055, 1.8052)",11.6951 ±1.0058,0.2346 ±0.0917
ANN_all_days,ft,"(-1.6506, 1.2423)",18.6141 ±1.1731,0.3445 ±0.0379
ANN_all_days,dt,"(-2.8146, 1.3412)",22.9786 ±1.6099,0.2937 ±0.0362
ANN_all_days,nt,"(-0.5603, 1.6074)",11.2299 ±0.9362,0.2952 ±0.0908
